SECT W14X99    WF  29.10   5.370  1110.0  402.00  14.600.780 14.200.4850.600    
SECT W14X90    WF  26.50   4.060   999.0  362.00  14.500.710 14.000.4400.600    
SECT W14X82    WF  24.00   5.070   881.0  148.00  10.100.855 14.300.5100.595    
SECT W14X74    WF  21.80   3.870   795.0  134.00  10.100.785 14.200.4500.595    
SECT W14X68    WF  20.00   3.010   722.0  121.00  10.000.720 14.000.4150.590    
SECT W14X61    WF  17.90   2.190   640.0  107.00  10.000.645 13.900.3750.595    
SECT W14X53    WF  15.60   1.940   541.0   57.70   8.060.660 13.900.3700.590    
SECT W14X48    WF  14.10   1.450   484.0   51.40   8.030.595 13.800.3400.595    
SECT W14X43    WF  12.60   1.050   428.0   45.20   8.000.530 13.700.3050.590    
SECT W14X38    WF  11.20   0.798   385.0   26.70   6.770.515 14.100.3100.400    
SECT W14X34    WF  10.00   0.569   340.0   23.30   6.750.455 14.000.2850.400    
SECT W14X30    WF   8.85   0.380   291.0   19.60   6.730.385 13.800.2700.400    
SECT W14X26    WF   7.69   0.358   245.0    8.91   5.030.420 13.900.2550.400    
SECT W14X22    WF   6.49   0.208   199.0    7.00   5.000.335 13.700.2300.400    
SECT W12X336   WF  98.80 243.000  4060.0 1190.00  13.402.960 16.801.7800.590    
SECT W12X305   WF  89.60 185.000  3550.0 1050.00  13.202.710 16.301.6300.590    
SECT W12X279   WF  81.90 143.000  3110.0  937.00  13.102.470 15.901.5300.600    
SECT W12X252   WF  74.00 108.000  2720.0  828.00  13.002.250 15.401.4000.600    
SECT W12X230   WF  67.70  83.800  2420.0  742.00  12.902.070 15.101.2900.600    
SECT W12X210   WF  61.80  64.700  2140.0  664.00  12.801.900 14.701.1800.600    
SECT W12X190   WF  55.80  48.800  1890.0  589.00  12.701.740 14.401.0600.590    
SECT W12X170   WF  50.00  35.600  1650.0  517.00  12.601.560 14.000.9600.600    
SECT W12X152   WF  44.70  25.800  1430.0  454.00  12.501.400 13.700.8700.600    
SECT W12X136   WF  39.90  18.500  1240.0  398.00  12.401.250 13.400.7900.600    
SECT W12X120   WF  35.30  12.900  1070.0  345.00  12.301.110 13.100.7100.590    
SECT W12X106   WF  31.20  9.1300   933.0  301.00  12.200.990 12.900.6100.600    
SECT W12X96    WF  28.20  6.8500   833.0  270.00  12.200.900 12.700.5500.600    
SECT W12X87    WF  25.60  5.1000   740.0  241.00  12.100.810 12.500.5150.600    
SECT W12X79    WF  23.20  3.8400   662.0  216.00  12.100.735 12.400.4700.595    
SECT W12X72    WF  21.10  2.9300   597.0  195.00  12.000.670 12.300.4300.600    
SECT W12X65    WF  19.10  2.1800   533.0  174.00  12.000.605 12.100.3900.595    
SECT W12X58    WF  17.00  2.1000   475.0  107.00  10.000.640 12.200.3600.600    
SECT W12X53    WF  15.60  1.5800   425.0   95.80  10.000.575 12.100.3450.605    
SECT W12X50    WF  14.60  1.7100   391.0   56.30   8.080.640 12.200.3700.500    
SECT W12X45    WF  13.10  1.2600   348.0   50.00   8.050.575 12.100.3350.505    
SECT W12X40    WF  11.70  0.9060   307.0   44.10   8.010.515 11.900.2950.505    
SECT W12X35    WF  10.30  0.7410   285.0   24.50   6.560.520 12.500.3000.300    
SECT W12X30    WF   8.79  0.4570   238.0   20.30   6.520.440 12.300.2600.300    
SECT W12X26    WF   7.65  0.3000   204.0   17.30   6.490.380 12.200.2300.300    
SECT W12X22    WF   6.48  0.2930   156.0    4.66   4.030.425 12.300.2600.300    
SECT W12X19    WF   5.57  0.1800   130.0    3.76   4.010.350 12.200.2350.300    
SECT W12X16    WF   4.71  0.1030   103.0    2.82   3.990.265 12.000.2200.300    
SECT W12X14    WF   4.16  0.0704    88.6    2.36   3.970.225 11.900.2000.300    
SECT W10X112   WF  32.90 15.1000   716.0  236.00  10.401.250 11.400.7550.500    
SECT W10X100   WF  29.40 10.9000   623.0  207.00  10.301.120 11.100.6800.500    
SECT W10X88    WF  25.90  7.5300   534.0  179.00  10.300.990 10.800.6050.500    
SECT W10X77    WF  22.60  5.1100   455.0  154.00  10.200.870 10.600.5300.500    
SECT W10X68    WF  20.00  3.5600   394.0  134.00  10.100.770 10.400.4700.500    
SECT W10X60    WF  17.60  2.4800   341.0  116.00  10.100.680 10.200.4200.500    
SECT W10X54    WF  15.80  1.8200   303.0  103.00  10.000.615 10.100.3700.505    
SECT W10X49    WF  14.40  1.3900   272.0   93.40  10.000.560 10.000.3400.500    
SECT W10X45    WF  13.30  1.5100   248.0   53.40   8.020.620 10.100.3500.500    
SECT W10X39    WF  11.50  0.9760   209.0   45.00   7.990.530  9.920.3150.500    
SECT W10X33    WF   9.71  0.5830   171.0   36.60   7.960.435  9.730.2900.500    
SECT W10X30    WF   8.84  0.6220   170.0   16.70   5.810.510 10.500.3000.300    
SECT W10X26    WF   7.61  0.4020   144.0   14.10   5.770.440 10.300.2600.300    
SECT W10X22    WF   6.49  0.2390   118.0   11.40   5.750.360 10.200.2400.300    
SECT W10X19    WF   5.62  0.2330    96.3    4.29   4.020.395 10.200.2500.300    
SECT W10X17    WF   4.99  0.1560    81.9    3.56   4.010.330 10.100.2400.300    
SECT W10X15    WF   4.41  0.1040    68.9    2.89   4.000.270 10.000.2300.300    
SECT W10X12    WF   3.54  0.0547    53.8    2.18   3.960.210  9.870.1900.300    
SECT W8X67     WF  19.70  5.0500   272.0   88.60   8.280.935  9.000.5700.395    
SECT W8X58     WF  17.10  3.3300   228.0   75.10   8.220.810  8.750.5100.390    
SECT W8X48     WF  14.10  1.9600   184.0   60.90   8.110.685  8.500.4000.395    
SECT W8X40     WF  11.70  1.1200   146.0   49.10   8.070.560  8.250.3600.394    
SECT W8X35     WF  10.30  0.7690   127.0   42.60   8.020.495  8.120.3100.394    
SECT W8X31     WF   9.12  0.5360   110.0   37.10   8.000.435  8.000.2850.394    
SECT W8X28     WF   8.24  0.5370    98.0   21.70   6.540.465  8.060.2850.394    
SECT W8X24     WF   7.08  0.3460    82.7   18.30   6.500.400  7.930.2450.394    
SECT W8X21     WF   6.16  0.2820    75.3    9.77   5.270.400  8.280.2500.300    
SECT W8X18     WF   5.26  0.1720    61.9    7.97   5.250.330  8.140.2300.300    
SECT W8X15     WF   4.44  0.1370    48.0    3.41   4.020.315  8.110.2450.300    
SECT W8X13     WF   3.84  0.0871    39.6    2.73   4.000.255  7.990.2300.300    
SECT W8X10     WF   2.96  0.0426    30.8    2.09   3.940.205  7.890.1700.300    
SECT W6X25     WF   7.34  0.4610    53.4   17.10   6.080.455  6.380.3200.250    
SECT W6X20     WF   5.87  0.2400    41.4   13.30   6.020.365  6.200.2600.250    
SECT W6X15     WF   4.43  0.1010    29.1    9.32   5.990.260  5.990.2300.250    
SECT W6X16     WF   4.74  0.2230    32.1    4.43   4.030.405  6.280.2600.250    
SECT W6X12     WF   3.55  0.0903    22.1    2.99   4.000.280  6.030.2300.250    
SECT W6X9      WF   2.68  0.0405    16.4    2.20   3.940.215  5.900.1700.250    
SECT W6X8.5    WF   2.52  0.0333    14.9    1.99   3.940.195  5.830.1700.250    
SECT W5X19     WF   5.56  0.3160    26.3    9.13   5.030.430  5.150.2700.300    
SECT W5X16     WF   4.71  0.1920    21.4    7.51   5.000.360  5.010.2400.300    
SECT W4X13     WF   3.83  0.1510    11.3    3.86   4.060.345  4.160.2800.250    
SECT M125X12   WF  3.630  0.0493   89.30   2.010   3.750.228 12.500.1550.335    
SECT M125X11   WF  3.400  0.0414   80.30   1.510   3.500.211 12.500.1550.352    
SECT M12X118   WF  3.470  0.0500   72.20   1.090   3.070.225 12.000.1770.338    
SECT M12X108   WF  3.180  0.0393   66.70   1.010   3.070.210 12.000.1600.353    
SECT M12X10    WF  2.950  0.0292   61.70   1.030   3.250.180 12.000.1490.320    
SECT M10X9     WF  2.650  0.0314   39.00   0.672   2.690.206 10.000.1570.357    
SECT M10X8     WF  2.370  0.0224   34.60   0.593   2.690.182 10.000.1410.381    
SECT M10X7.5   WF  2.220  0.0187   33.00   0.562   2.690.173 10.000.1300.265    
SECT M8X6.5    WF  1.920  0.0184   18.50   0.376   2.280.189  8.000.1350.374    
SECT M8X6.2    WF  1.820  0.0156   17.60   0.352   2.280.177  8.000.1290.261    
SECT M6X4.4    WF  1.290  0.0099    7.23   0.180   1.840.171  6.000.1140.204    
SECT M6X3.7    WF  1.090  0.0053    5.96   0.173   2.000.129  5.920.0980.184    
SECT M5X18.9   WF  5.560  0.3130   24.20   8.700   5.000.416  5.000.3160.397    
SECT M4X6      WF  1.750  0.0184    4.72   1.470   3.800.160  3.800.1300.340    
SECT M4X4.08   WF  1.270  0.0147    3.53   0.325   2.250.170  4.000.1150.393    
SECT M4X3.45   WF  1.010  0.0082    2.86   0.248   2.250.130  4.000.0920.370    
SECT M4X3.2    WF  1.010  0.0082    2.86   0.248   2.250.130  4.000.0920.370    
SECT M3X2.9    WF  0.914  0.0079    1.50   0.248   2.250.130  3.000.0900.370    
SECT S24X121   WF 35.500 12.8000 3160.00  83.000   8.051.090 24.500.8000.910    
SECT S24X106   WF 31.100 10.1000 2940.00  76.800   7.871.090 24.500.6200.910    
SECT S24X100   WF 29.300  7.5900 2380.00  47.400   7.250.870 24.000.7450.880    
SECT S24X90    WF 26.500  6.0500 2250.00  44.700   7.130.870 24.000.6250.880    
SECT S24X80    WF 23.500  4.8900 2100.00  42.000   7.000.870 24.000.5000.880    
SECT S20X96    WF 28.200  8.4000 1670.00  49.900   7.200.920 20.300.8000.830    
SECT S20X86    WF 25.300  6.6500 1570.00  46.600   7.060.920 20.300.6600.830    
SECT S20X75    WF 22.000  4.5900 1280.00  29.500   6.390.795 20.000.6350.835    
SECT S20X66    WF 19.400  3.5800 1190.00  27.500   6.260.795 20.000.5050.835    
SECT S18X70    WF 20.500  4.1000  923.00  24.000   6.250.691 18.000.7110.809    
SECT S18X547   WF 16.000  2.3300  801.00  20.700   6.000.691 18.000.4610.809    
SECT S15X50    WF 14.700  2.1200  485.00  15.600   5.640.622 15.000.5500.758    
SECT S15X429   WF 12.600  1.5400  446.00  14.300   5.500.622 15.000.4110.758    
SECT S12X50    WF 14.600  2.7700  303.00  15.600   5.480.659 12.000.6870.781    
SECT S12X408   WF 11.900  1.6900  270.00  13.500   5.250.659 12.000.4620.781    
SECT S12X35    WF 10.200  1.0500  228.00   9.840   5.080.544 12.000.4280.646    
SECT S12X318   WF  9.310  0.8780  217.00   9.330   5.000.544 12.000.3500.646    
SECT S10X35    WF 10.300  1.2900  147.00   8.300   4.940.491 10.000.5940.639    
SECT S10X254   WF  7.450  0.6030  123.00   6.730   4.660.491 10.000.3110.639    
SECT S8X23     WF  6.760  0.5500   64.70   4.270   4.170.425  8.000.4410.575    
SECT S8X18.4   WF  5.400  0.3350   57.50   3.690   4.000.425  8.000.2710.575    
SECT S6X17.2   WF  5.060  0.3710   26.20   2.290   3.570.359  6.000.4650.454    
SECT S6X12.5   WF  3.660  0.1670   22.00   1.800   3.330.359  6.000.2320.454    
SECT S5X10     WF  2.930  0.1140   12.30   1.190   3.000.326  5.000.2140.424    
